,N,chi,f_tree,f_std_tree,f_mps,f_std_mps,f_omps,f_std_omps,mem_tree,mem_std_tree,mem_mps,mem_std_mps,mem_omps,mem_std_omps
14,30,43,0.999999999999978,9.382205693022576e-15,0.9999999999955488,1.9349433352929855e-11,0.9999999999999882,3.5256355363920944e-15,1884.2,659.9569379891387,1847.0,786.3695060211834,1422.9,902.0005487803209
15,30,46,0.999999999999978,9.382205693022576e-15,0.9999999999955488,1.9349433352929855e-11,0.9999999999999882,3.5256355363920944e-15,1884.2,659.9569379891387,1847.0,786.3695060211834,1422.9,902.0005487803209
16,30,49,0.999999999999978,9.382205693022576e-15,0.9999999999955488,1.9349433352929855e-11,0.9999999999999882,3.5256355363920944e-15,1884.2,659.9569379891387,1847.0,786.3695060211834,1422.9,902.0005487803209
17,60,1,0.007716749512001919,0.005410642608519521,0.00771674951200213,0.005410642608519623,0.007716749512002125,0.00541064260851965,20.0,0.0,20.0,0.0,20.0,0.0
18,60,4,0.058774676688759374,0.03564252427052296,0.04683068469450803,0.033950616038406864,0.06583329593833998,0.04742553332809255,272.8,47.47378223819964,225.1,13.31878372825387,225.0,11.636150566231086
19,60,7,0.18271131607223448,0.09869297221513011,0.1302186588159598,0.06611161275234066,0.1766373050924275,0.07873757362977636,561.7,64.48030707122912,540.7,14.38436651368422,544.0,0.0
20,60,10,0.341538748383565,0.17274852620779,0.24066311794069767,0.1179720179886546,0.33778561061452905,0.14253524018546188,854.4,81.20492595895892,884.4,15.692036196746423,888.0,0.0
21,60,13,0.47468017656759776,0.19829852735543446,0.37631167646521885,0.14668100338930323,0.49557442535437185,0.16643453269515857,1138.8,95.34652589371046,1249.5,45.76843890717707,1260.0,0.0
22,60,16,0.6639955945629625,0.20431529592428646,0.5916639834545833,0.15917557993428036,0.6898846635208744,0.14585721792046566,1452.0,156.9662384081367,1684.8,83.69085971598095,1704.0,0.0
23,60,19,0.7516160928030556,0.17002440556558893,0.7010382393529311,0.13113783286654537,0.7921585995860184,0.11030211905357479,1533.6,165.26052160150044,1867.2,125.5362895739714,1886.4,41.84542985799046
24,60,22,0.827519253105903,0.1326014934640533,0.819643273340357,0.08987436626116503,0.8814610675367838,0.07110191515937947,1615.2,225.31258287099726,2049.6,167.3817194319619,2068.8,83.69085971598092
25,60,25,0.8948076653529371,0.08833962334196095,0.9196161626568568,0.0433107144034228,0.9494279091246429,0.032467095935248526,1696.8,308.22485298885294,2232.0,209.22714928995234,2251.2,125.53628957397139
26,60,28,0.949221132277553,0.04598262442978354,0.9794804537050703,0.0114969835804524,0.9874608913555702,0.009885419971467723,1778.4,400.02679910226016,2414.4,251.0725791479428,2433.6,167.3817194319619
27,60,31,0.9901702238045169,0.010023360469106748,0.9986633668449045,0.0010874444317074997,0.9990837948330847,0.0013721369958140878,1860.0,495.8048002994727,2596.8,292.9180090059333,2616.0,209.22714928995234
28,60,34,0.9999999999999524,1.7601552302755996e-14,0.9999999999775258,4.8907314006428004e-11,0.9999999999967271,1.4163677100651677e-11,1887.2,528.2432772880314,2657.6,306.8664856252634,2676.8,223.17562590928247
29,60,37,0.9999999999999524,1.7601552302755996e-14,0.9999999999775258,4.8907314006428004e-11,0.9999999999967271,1.4163677100651677e-11,1887.2,528.2432772880314,2657.6,306.8664856252634,2676.8,223.17562590928247
30,60,40,0.9999999999999524,1.7601552302755996e-14,0.9999999999775258,4.8907314006428004e-11,0.9999999999967271,1.4163677100651677e-11,1887.2,528.2432772880314,2657.6,306.8664856252634,2676.8,223.17562590928247
31,60,43,0.9999999999999524,1.7601552302755996e-14,0.9999999999775258,4.8907314006428004e-11,0.9999999999967271,1.4163677100651677e-11,1887.2,528.2432772880314,2657.6,306.8664856252634,2676.8,223.17562590928247
32,60,46,0.9999999999999524,1.7601552302755996e-14,0.9999999999775258,4.8907314006428004e-11,0.9999999999967271,1.4163677100651677e-11,1887.2,528.2432772880314,2657.6,306.8664856252634,2676.8,223.17562590928247
33,60,49,0.9999999999999524,1.7601552302755996e-14,0.9999999999775258,4.8907314006428004e-11,0.9999999999967271,1.4163677100651677e-11,1887.2,528.2432772880314,2657.6,306.8664856252634,2676.8,223.17562590928247
34,90,1,0.001064508057021458,0.0012932453956421269,0.0010645080570214904,0.0012932453956421416,0.0010645080570214909,0.0012932453956421436,20.0,0.0,20.0,0.0,20.0,0.0
