,N,chi,f_tree,f_mps,f_omps,mem_tree,mem_mps,mem_omps
351,170,11,0.0009855118015193467,0.0005401363831136573,0.0004636830982644702,996,1004,1004
352,170,12,0.0010370972043920491,0.0019243068080740308,0.004687671210745239,1076,1128,1128
353,170,13,0.002241249420384117,0.0008817326032723191,0.0013270574825541548,1156,1260,1260
354,170,14,0.004753475066373379,0.0024601580846702743,0.009572016376702581,1236,1400,1400
355,170,15,0.007388686997963897,0.0036593704058125727,0.020506639100826493,1316,1548,1548
356,170,16,0.021579583980458995,0.004363522176354196,0.027661417935915436,1396,1704,1704
357,170,17,0.033997333147421385,0.01260217684985335,0.03732424707791888,1396,1768,1768
358,170,18,0.053285564606326205,0.01534992078749851,0.06556320497290777,1396,1832,1832
359,170,19,0.0732122412317718,0.03117552105998148,0.07645023866582787,1396,1896,1896
360,170,5,9.747581551323256e-05,0.00010726660081758801,0.00032972407831822467,384,320,320
361,170,6,6.073293680347806e-05,0.00013277557781678722,0.00024249537963292068,496,424,424
362,170,7,9.51665836093693e-05,0.00015441325602708446,0.00022098674949894246,624,544,544
363,170,8,0.00017899591937113948,0.0003436175337870896,0.00013159461541946275,768,680,680
364,170,9,0.0007247383771012619,0.0008547388935718297,0.001361554450429534,848,780,780
365,170,10,0.0012973469561180203,0.00030876307705186997,0.000360232431364372,928,888,888
366,170,11,0.0018558612770837612,0.0012828973878373333,0.0017200779794820423,1008,1004,1004
367,170,12,0.0015554320399735434,0.0019758844515779138,0.0018702854929990066,1088,1128,1128
368,170,13,0.004079676717853262,0.0015905914211762125,0.001831812017199298,1168,1260,1260
369,170,14,0.009066612966550985,0.0059215140422401195,0.007221314704241634,1248,1400,1400
370,170,15,0.01991257142912736,0.007527813344920443,0.01714450892876109,1328,1548,1548
371,170,16,0.04012304061930293,0.010864223138272448,0.03761383951172479,1408,1704,1704
372,170,17,0.06527600290250987,0.025402614867794594,0.052017755457336785,1408,1768,1768
373,170,18,0.07691635737468094,0.028811064728176915,0.0810592918697994,1408,1832,1832
374,170,19,0.11525606486940983,0.05923484101159543,0.10992192262055822,1408,1896,1896
375,200,5,1.8234604831898782e-06,1.8074526728053004e-06,2.30729673273953e-05,348,320,320
376,200,6,2.983924871182568e-05,4.165434484348613e-06,9.905509129165706e-05,432,424,424
377,200,7,2.5537667217027664e-05,9.625726625727261e-05,3.089652609575087e-05,524,544,544
378,200,8,0.0003059392426570431,0.00027712154533673374,0.0001369425585507881,624,680,680
379,200,9,0.00011279667582983174,0.0003614156237217995,5.5252427789940243e-05,706,780,780
380,200,10,0.0001370295824282815,0.00022496948841384178,0.001289140523934454,792,888,888
381,200,11,0.00017911490893527998,0.0007022524606400387,0.0008499418755214712,882,1004,1004
382,200,12,0.00034147944896528216,0.0010882525165716102,0.0004984557858292643,976,1128,1128
383,200,13,0.0001941249722871946,0.0006203964531322988,0.0007447877311013388,1074,1260,1260
384,200,14,0.00031819292762327845,0.001777632047477017,0.0007864556572827862,1176,1400,1400
385,200,15,0.0003160150141246197,0.0025854518334541346,0.0040749172578250946,1282,1548,1548
386,200,16,0.00047745676136154756,0.0034785838566213285,0.009136933038128478,1392,1704,1704
387,200,17,0.0006117839712121664,0.01063085281434027,0.010073337638327233,1456,1768,1768
388,200,18,0.0027375235512968783,0.0130171215113811,0.017892601174007632,1520,1832,1832
389,200,19,0.0031474125588393806,0.025903164975746237,0.02582946801061322,1584,1896,1896
390,200,5,1.4025125336806938e-05,9.806936112580692e-06,7.345508595478053e-06,306,320,320
391,200,6,4.7746514531481407e-05,1.061473637317057e-05,0.0007320063604659115,396,424,312
392,200,7,2.6835012546677086e-05,0.00015738824610384675,0.0005376373644169163,498,448,374
393,200,8,3.8687135916928764e-05,0.00025523404459837715,0.0006920440273032089,612,680,456
394,200,9,2.1850812978002788e-05,0.0012610433474833024,0.00175720918937744,694,692,780
395,200,10,5.241263037779654e-05,0.0016786551481635318,0.002461273239045768,780,720,826
396,200,11,9.91745063127198e-05,0.0018834169181620247,0.0008399352831587344,870,1004,1004
397,200,12,8.921809904787193e-05,0.0009592562242081974,0.002175951092025285,964,1128,1128
398,200,13,0.00018680894496741473,0.0038297669899820955,0.0008715040281859667,1062,1260,1260
399,200,14,0.0003196531996127864,0.0030975326260916916,0.0032035529264873865,1164,1400,1400
400,200,15,0.00038378701286334295,0.00455362056819421,0.0006733746735724949,1270,1548,1548
401,200,16,0.000899325390007633,0.0027643363308838104,0.0035843442170277167,1380,1704,1704
402,200,17,0.0022455691470567893,0.003812272771214309,0.00892883985207083,1444,1768,1768
403,200,18,0.002416300875244935,0.004479772205952456,0.013083209418018764,1508,1832,1832
404,200,19,0.0018867128645518258,0.009510712748794383,0.019767363170733656,1572,1896,1896
405,200,5,1.6533612678298608e-06,7.819442157732227e-06,1.2119816950707069e-05,352,320,320
